[02:32:15] [INFO] received Windows console close event; shutting log-core down
[02:39:43] [INFO] received Windows console close event; shutting log-core down
[23:46:36] [INFO] received Windows console close event; shutting log-core down
[00:13:12] [INFO] received Windows console close event; shutting log-core down
[00:16:32] [INFO] received Windows console close event; shutting log-core down
[00:16:48] [INFO] received Windows console close event; shutting log-core down
[00:24:43] [INFO] received Windows console close event; shutting log-core down
[01:56:26] [INFO] received Windows console close event; shutting log-core down
[01:56:40] [INFO] received Windows console close event; shutting log-core down
[01:57:05] [INFO] received Windows console close event; shutting log-core down
[01:57:07] [INFO] received Windows console close event; shutting log-core down
[01:58:47] [INFO] received Windows console close event; shutting log-core down
[01:58:56] [INFO] received Windows console close event; shutting log-core down
[01:58:57] [INFO] received Windows console close event; shutting log-core down
[02:00:56] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02:02:44] [INFO] received Windows console close event; shutting log-core down
[02:18:32] [INFO] received Windows console close event; shutting log-core down
[22:18:28] [INFO] received Windows console close event; shutting log-core down
[22:20:36] [INFO] received Windows console close event; shutting log-core down
[23:23:22] [INFO] received Windows console close event; shutting log-core down
[23:42:05] [ERROR] exception 0XC0000094 (INTEGER_DIVIDE_BY_ZERO) from Vectored Exception Handler catched; shutting log-core down
[23:42:30] [INFO] received Windows console close event; shutting log-core down
[23:46:42] [INFO] received Windows console close event; shutting log-core down
[23:49:51] [INFO] received Windows console close event; shutting log-core down
[16:23:10] [INFO] received Windows console close event; shutting log-core down
[18:12:21] [INFO] received Windows console close event; shutting log-core down
[18:31:01] [INFO] received Windows console close event; shutting log-core down
[22:11:05] [INFO] received Windows console close event; shutting log-core down
[02:27:12] [INFO] received Windows console close event; shutting log-core down
